ioc_id,ioc_ip,ioc_port,ioc,threat_desc,threat_source,threat_category,first_seen_utc,create_time,last_seen_utc
1075322,51.38.247.74,5555,AsyncRAT,win.asyncrat,TF_abuse_ch,botnet_cc,2023-01-30 16:40:23,1675262394,2023-01-30 16:40:23
1075343,146.19.173.141,443,BumbleBee,win.bumblebee,TF_r0ny_123,botnet_cc,2023-01-30 17:24:09,1675262394,2023-01-31 15:41:38
1075346,195.133.40.73,2616,Mirai,elf.mirai,TF_abuse_ch,botnet_cc,2023-01-30 17:50:04,1675262394,2023-01-30 17:50:04
1075348,62.204.41.92,80,Amadey,win.amadey,TF_abuse_ch,botnet_cc,2023-01-30 18:36:02,1675262394,2023-01-31 17:12:03
1075350,172.245.45.213,3235,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 19:04:35,1675262394,2023-01-30 19:04:35
1075351,207.32.216.101,28563,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 19:10:22,1675262394,2023-01-30 19:10:22
1075353,45.15.156.194,36152,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 19:30:27,1675262394,2023-01-30 19:30:27
1075354,185.243.112.167,80,BianLian,elf.bianlian,TF_abuse_ch,botnet_cc,2023-01-30 19:36:10,1675262394,2023-01-30 19:36:10
1075355,18.159.131.20,80,BianLian,elf.bianlian,TF_abuse_ch,botnet_cc,2023-01-30 19:36:11,1675262394,2023-01-30 19:36:11
1075359,31.25.10.196,2096,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-30 19:44:52,1675262394,2023-01-30 19:44:52
1075365,45.82.251.36,443,IcedID,win.icedid,TF_r0ny_123,botnet_cc,2023-01-30 20:40:26,1675262394,2023-01-30 20:40:26
1075366,138.201.195.134,15564,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 20:45:22,1675262394,2023-01-30 20:45:22
1075370,105.154.200.41,64,AsyncRAT,win.asyncrat,TF_abuse_ch,botnet_cc,2023-01-30 21:10:26,1675262394,2023-01-30 21:10:26
1075373,3.90.213.150,443,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-30 21:25:30,1675262394,2023-01-30 21:25:30
1075375,49.12.247.184,18430,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-30 23:25:21,1675262394,2023-01-30 23:25:21
1075376,37.0.14.211,2404,Remcos,win.remcos,TF_abuse_ch,botnet_cc,2023-01-31 00:35:25,1675262394,2023-01-31 00:35:25
1075378,81.69.96.149,8090,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 03:16:02,1675262394,2023-01-31 17:00:17
1075379,106.15.78.80,443,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 03:16:03,1675262394,2023-01-31 17:00:20
1075381,185.212.149.107,61231,Mirai,elf.mirai,TF_abuse_ch,botnet_cc,2023-01-31 06:00:07,1675262394,2023-01-31 06:00:07
1075383,52.53.230.115,31337,Sliver,win.sliver,TF_drb_ra,botnet_cc,2023-01-31 06:45:21,1675262394,2023-01-31 06:45:21
1075384,52.53.230.115,8888,Sliver,win.sliver,TF_drb_ra,botnet_cc,2023-01-31 06:45:22,1675262394,2023-01-31 06:45:22
1075385,54.197.29.26,443,Sliver,win.sliver,TF_drb_ra,botnet_cc,2023-01-31 06:45:22,1675262394,2023-01-31 06:45:22
1075386,13.55.56.50,7443,Unknown malware,unknown,TF_drb_ra,botnet_cc,2023-01-31 06:46:03,1675262394,2023-01-31 06:46:03
1075387,112.29.177.15,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-31 06:46:24,1675262394,2023-01-31 06:46:24
1075388,112.29.177.29,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-31 06:46:26,1675262394,2023-01-31 06:46:26
1075389,112.29.177.99,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-31 06:46:33,1675262394,2023-01-31 06:46:33
1075390,112.29.180.8,10036,Deimos,win.deimos,TF_drb_ra,botnet_cc,2023-01-31 06:46:44,1675262394,2023-01-31 06:46:44
1075391,104.200.67.156,443,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:20,1675262394,2023-01-31 06:48:20
1075392,139.99.52.102,80,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:24,1675262394,2023-01-31 06:48:24
1075393,139.99.52.102,443,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:24,1675262394,2023-01-31 06:48:24
1075394,139.99.52.102,8000,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:25,1675262394,2023-01-31 06:48:25
1075395,139.99.52.102,8443,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:25,1675262394,2023-01-31 06:48:25
1075396,149.154.158.153,443,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:33,1675262394,2023-01-31 06:48:33
1075397,149.154.158.153,8080,BianLian,win.bianlian,TF_drb_ra,botnet_cc,2023-01-31 06:48:33,1675262394,2023-01-31 06:48:33
1075398,66.85.173.44,5200,Ave Maria,win.ave_maria,TF_abuse_ch,botnet_cc,2023-01-31 07:25:21,1675262394,2023-01-31 07:25:21
1075399,81.161.229.73,80,CryptBot,win.cryptbot,TF_patrickp_88,botnet_cc,2023-01-31 07:28:26,1675262394,2023-01-31 07:28:26
1075407,212.192.246.12,3778,Mirai,elf.mirai,TF_abuse_ch,botnet_cc,2023-01-31 08:15:05,1675262394,2023-01-31 08:15:05
1075408,3.6.115.182,11408,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 08:35:22,1675262394,2023-01-31 08:35:22
1075409,3.6.30.85,11408,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 08:40:27,1675262394,2023-01-31 08:40:27
1075410,3.6.98.232,11408,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 08:45:21,1675262394,2023-01-31 08:45:21
1075419,194.5.98.174,3355,Ave Maria,win.ave_maria,TF_abuse_ch,botnet_cc,2023-01-31 09:10:21,1675262394,2023-01-31 09:10:21
1075425,41.233.172.236,6522,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 10:30:23,1675262394,2023-01-31 10:30:23
1075426,185.132.53.77,1963,Mirai,elf.mirai,TF_abuse_ch,botnet_cc,2023-01-31 10:35:06,1675262394,2023-01-31 10:35:06
1075428,91.215.85.194,443,ISFB,win.isfb,TF_abuse_ch,botnet_cc,2023-01-31 11:24:24,1675262394,2023-01-31 11:24:25
1075429,91.215.85.193,443,ISFB,win.isfb,TF_abuse_ch,botnet_cc,2023-01-31 11:24:24,1675262394,2023-01-31 11:24:24
1075430,146.70.113.161,443,ISFB,win.isfb,TF_abuse_ch,botnet_cc,2023-01-31 11:24:25,1675262394,2023-01-31 11:24:25
1075431,23.227.202.77,443,ISFB,win.isfb,TF_abuse_ch,botnet_cc,2023-01-31 11:24:25,1675262394,2023-01-31 11:24:25
1075432,88.218.171.110,39314,RedLine Stealer,win.redline_stealer,TF_abuse_ch,botnet_cc,2023-01-31 11:26:23,1675262394,2023-01-31 11:26:23
1075464,161.35.17.28,80,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:02,1675262394,2023-01-31 17:00:04
1075465,101.34.163.3,9999,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:03,1675262394,2023-01-31 17:00:06
1075466,107.189.28.121,80,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:03,1675262394,2023-01-31 17:00:07
1075467,23.227.196.194,80,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:03,1675262394,2023-01-31 17:00:10
1075468,209.141.52.22,80,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:03,1675262394,2023-01-31 17:00:11
1075469,43.139.8.152,9999,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:04,1675262394,2023-01-31 17:00:12
1075470,110.81.153.37,10443,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:04,1675262394,2023-01-31 17:00:13
1075471,156.96.157.120,443,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:04,1675262394,2023-01-31 17:00:15
1075472,1.15.99.189,7777,Cobalt Strike,win.cobalt_strike,TF_abuse_ch,botnet_cc,2023-01-31 13:16:05,1675262394,2023-01-31 17:00:16
1075473,114.143.176.234,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:33,1675262394,2023-01-31 13:25:33
1075474,87.10.205.117,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:33,1675262394,2023-01-31 17:14:33
1075475,87.56.238.53,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:33,1675262394,2023-01-31 17:14:33
1075476,103.42.86.246,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:33,1675262394,2023-01-31 13:25:33
1075477,121.121.100.207,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:33,1675262394,2023-01-31 17:14:33
1075478,156.217.247.173,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:33,1675262394,2023-01-31 17:14:38
1075479,92.8.190.175,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:33
1075480,69.159.158.183,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:33
1075481,206.188.201.143,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:34
1075482,130.43.172.217,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:34
1075483,98.175.176.254,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:34
1075484,200.109.207.186,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:34
1075485,107.146.12.26,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:34,1675262394,2023-01-31 17:14:38
1075486,181.118.183.2,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 17:14:35
1075487,197.204.184.160,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 13:25:35
1075488,5.163.163.51,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 17:14:37
1075489,102.156.154.112,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 17:14:37
1075490,87.223.87.126,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 17:14:34
1075491,87.221.197.113,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 17:14:34
1075492,84.108.200.161,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:35,1675262394,2023-01-31 13:25:35
1075493,161.142.104.187,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 13:25:36
1075494,47.21.51.138,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 17:14:35
1075495,175.139.129.94,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 17:14:36
1075496,116.75.63.184,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 13:25:36
1075497,82.121.195.187,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 17:14:35
1075498,88.169.33.180,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 13:25:36
1075499,86.130.9.182,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 17:14:35
1075500,86.96.72.139,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 17:14:36
1075501,91.231.173.199,995,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:36,1675262394,2023-01-31 17:14:35
1075502,102.156.174.28,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 13:25:37
1075503,176.202.38.188,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 17:14:37
1075504,31.53.29.161,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 17:14:37
1075505,119.82.122.226,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 17:14:37
1075506,151.65.168.222,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 17:14:36
1075507,47.61.70.188,2078,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 17:14:36
1075508,86.194.156.14,2222,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:37,1675262394,2023-01-31 17:14:36
1075509,171.97.42.67,443,QakBot,win.qakbot,TF_pr0xylife,botnet_cc,2023-01-31 13:25:38,1675262394,2023-01-31 13:25:38
1075513,68.178.206.43,80,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:01:54,1675262394,2023-01-31 14:01:54
1075515,3.121.125.98,80,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:04:10,1675262394,2023-01-31 14:04:10
1075520,103.20.221.10,80,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:11:33,1675262394,2023-01-31 14:11:33
1075521,43.156.232.7,2096,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:12:51,1675262394,2023-01-31 14:12:51
1075524,38.34.253.57,80,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:14:44,1675262394,2023-01-31 14:14:44
1075525,43.156.232.7,2095,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:14:55,1675262394,2023-01-31 14:14:55
1075528,69.176.94.39,8443,Cobalt Strike,win.cobalt_strike,TF_drb_ra,botnet_cc,2023-01-31 14:17:03,1675262394,2023-01-31 14:17:03
1075530,185.255.95.191,99,AsyncRAT,win.asyncrat,TF_abuse_ch,botnet_cc,2023-01-31 14:25:11,1675262394,2023-01-31 14:25:11
1075545,192.111.146.181,443,BumbleBee,win.bumblebee,TF_r0ny_123,botnet_cc,2023-01-31 15:41:38,1675262394,2023-01-31 17:14:39
1075547,185.206.145.96,1775,MetaStealer,win.metastealer,TF_abuse_ch,botnet_cc,2023-01-31 15:55:59,1675262394,2023-01-31 15:55:59
1075550,149.202.8.123,2404,Remcos,win.remcos,TF_abuse_ch,botnet_cc,2023-01-31 16:40:21,1675262394,2023-01-31 16:40:21
1075553,3.68.171.119,12801,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 17:00:26,1675262394,2023-01-31 17:00:26
1075554,52.28.247.255,12801,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 17:05:23,1675262394,2023-01-31 17:05:23
1075555,3.69.115.178,12801,NjRAT,win.njrat,TF_abuse_ch,botnet_cc,2023-01-31 17:10:21,1675262394,2023-01-31 17:10:21
